Service,Relational Database Service($),EC2-Instances($),EC2-ELB($),EC2-Other($),ElastiCache($),VPC($),Managed Workflows for Apache Airflow($),Directory Service($),Elastic Container Service($),DynamoDB($),CloudWatch($),GuardDuty($),Lightsail($),Key Management Service($),Elastic Container Service for Kubernetes($),WAF($),S3($),Cost Explorer($),CodeCommit($),Secrets Manager($),Pinpoint($),Route 53($),Macie($),CloudTrail($),SQS($),EC2 Container Registry (ECR)($),Lambda($),X-Ray($),CodeBuild($),Docker on Ubuntu 20($),Amplify($),CentOS 8 with support by Frontline($),SNS($),Rekognition($),CloudShell($),Systems Manager($),Glue($),SES($),IoT($),Elastic File System($),API Gateway($),Glacier($),SimpleDB($),CodeArtifact($),Step Functions($),Elemental MediaStore($),Backup($),CodePipeline($),Service Catalog($),Tax($),Cloud Directory($),Total cost ($)
6/1/2021,455.8722809,86.26754394,53.02074457,278.7565383,131.976,98.76754258,,,2.94112E-05,1.54067E-05,2.36654844,7.339661454,6.768,0.104150445,,,0.030262338,0.75,2,0.0079,,0.2035796,,0.001242,0.0023304,0.018964793,0.000166125,,0.12,,0.007821564,,0.001023,,,,0,,,,,0.000001455,6.96E-08,6.59E-08,,,,0,0,0,,1124.382347
7/1/2021,550.9730073,151.8756615,60.07530809,359.6411921,160.704,134.0502016,,,1.85064E-05,1.62129E-05,3.34932278,8.243946587,6.9936,3.433633656,,,0.031379953,0.77,1,0.534572251,,0.2029372,,0.001898,0.002444,0.018463254,5.56316E-05,,,,0,,0.0010885,,,,0,,,,5.12E-08,0.000001519,,2.8E-09,,,,,,0,,1441.902749
8/1/2021,574.2478904,358.9767196,69.62411906,382.7076687,180.996,131.1134333,,,0.378416516,1.36743E-05,3.366633051,8.58418345,6.9936,5.327821282,,,0.052072918,0.79,,0.527283755,,0.5226552,,0.004575,0.0021372,0.025256639,0.000199982,,,,0.007821564,,0.000806,0.004,2.3494E-06,0,0,0.000100073,,2.507E-07,,1.2535E-06,,,,,,,0,0,,1724.253411
9/1/2021,768.2657887,278.8579604,73.21415782,430.5864161,289.812,126.7896258,,,20.1196201,0.470345931,3.829851707,6.805078139,7.785417362,7.548493393,,,0.051185844,0.73,,0.406650032,,0.2160604,,0.082055,0.21361497,0.078128525,0.01611981,,,,0.007821564,,0.000585834,,,,0,,,0.000001728,7.1461E-06,3.352E-07,,,,,,,0,0,,2015.886987
10/1/2021,834.2839631,552.2597946,83.35444307,428.5124598,330.336,130.9507435,,25.0965333,20.56424385,1.123209221,4.218241985,6.334114776,6.9936,8.07776227,0.501517083,,0.026755724,0.77,1,0.405552359,,0.2101188,,0.003675,0.285709548,0.0839325,,,0.005,,0,,0.000683151,,1.99779E-05,0,0,,,1.7112E-06,,0.000000405,,,,,,0,,0,0,2435.398076
11/1/2021,819.5249933,871.7128721,90.1994269,383.8589517,319.68,133.2048625,,86.34974565,17.31782214,1.116967645,2.859708851,4.768883351,6.768,7.999648953,,,0.015967518,0.74,1,0.403365032,,0.2097132,0,0.001791,0.276197115,0.083932488,,,,,0,0.01,0.00026512,,,0,,,0.00001492,0.000001728,,0.000000304,,,,,,,0,0,,2748.103132
12/1/2021,834.1737236,889.9189494,93.10055259,395.0089099,330.336,252.6195072,227.4345864,89.12483223,21.12216,1.129448673,9.838832727,6.225226826,6.9936,7.976779088,,,2.915225505,0.77,,0.403689994,,0.2077448,0.184128,0.559353,0.234029916,0.0839325,,,,,0,,0.000254315,,6.89111E-05,0.000195,,,,1.7112E-06,,4.931E-07,,,,,,,,0,,3170.361733
1/1/2022,633.3885994,770.2581432,88.16691867,339.9609853,251.076,288.7747465,364.56,89.34569168,16.03698804,1.372809308,13.63584488,6.959849017,6.9936,7.998143722,0.007408972,,4.66393113,0.77,,0.402867359,,0.2095992,0.9042,0.894986,0.171493134,0.071310311,3.0854E-06,,,0.1,0.007821564,,0.000196841,,2.82383E-05,0.000039,0,,,1.7112E-06,,7.953E-07,,,,,,,,0,,2886.732207
2/1/2022,0.181765342,270.0838525,75.03209611,272.1733552,0.684,163.7674895,92.84248118,80.6061098,0.05013368,35.42419002,5.149540949,4.497148811,6.3168,8.001765082,,0.154763017,1.204266555,0.42,,0.424128099,,0.2073468,0.963384,0.229985,0.154803911,0.031782501,,,,,0.007821564,,0.000155775,,8.29619E-05,0,0,,0.0000025,1.7472E-06,,0.000000723,2.719E-07,9.98E-08,2.73E-08,2.13E-08,,,0,0,,1018.609254
3/1/2022,3.267432639,45.12176041,55.87415777,126.7304738,18.7,17.48987681,,11.43093377,17.19453847,20.67281832,8.861700405,3.416533525,0.883396354,1.295173216,,4.442972276,0.007643735,0.46,,0.644953377,,0.4031344,0.144672,0.001667,0.021666464,0.123563035,,,,,0,,2.10729E-05,,0.000072508,,0,,0.00000375,2.185E-07,,9.64E-08,5.476E-07,2.681E-07,0.000000055,4.34E-08,,,0,0,,337.1891664
4/1/2022,0.004498272,12.43559287,51.84002081,109.1495113,24.822,9.108005515,,,20.9736,22.46636046,10.62193555,2.822629951,,1.570229568,,6.000000048,0.001918184,0.45,,0.800064992,2.000000016,0.2064648,,0.019646,0.0000008,0.143764416,0.085686793,0.046735,,,0,,5.1659E-06,,0.000000094,0,0,,,2.8532E-06,0.000001,6.5E-09,,,,,1.26E-08,,0,0,,275.5686745
5/1/2022,0.050190174,1.231515248,53.50051674,108.3860546,25.194,80.352,,,1.822880941,23.21756603,1.266823824,3.325195167,,3.022493168,52.14736042,5.872601936,0.023854913,0.46,1,0.79291203,1.999999968,0.20379,,0.038685,0.0001344,0.078026061,0.162418828,0.0892,,,0.007821564,,0.000281592,,0.000140533,0.000078,0.000117,,0.0000348,4.1664E-06,,4.692E-07,,,3.154E-07,,0.000000018,,0,0,,364.2466979
Total,5474.234133,4289.000366,847.0024622,3615.472517,2064.316,1566.988035,684.8370676,381.9538464,135.5804517,106.9937609,69.36498514,69.32245105,63.48961372,62.35609384,52.65628647,16.47033728,9.024464316,7.88,6,5.75393928,3.999999984,3.0031444,2.196384,1.839558,1.364561858,0.841057024,0.264650254,0.135935,0.125,0.1,0.046929385,0.01,0.005366365,0.004,0.000415574,0.000312,0.000117,0.000100073,0.00005597,1.78256E-05,8.1973E-06,7.8552E-06,8.891E-07,4.366E-07,3.977E-07,6.47E-08,3.06E-08,0,0,0,0,19542.63443
